AppName,TCID,STATUS,EXEDATE,RCA  (ENV|CODE|DATA|REQ)
Facebook,79,Fail,07.30.19,UAT|import pandasa as pd|pandas: Package not found|importing
TechCrunch,185,Fail,05.26.19,PROD|import numpy as np|numpy: Package not found|importing
Guardian,169,Fail,07.06.19,PROD|import numpy as np|numpy: Package not found|importing
Zomato,156,Fail,06.20.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Zomato,7,Pass,05.01.19,
Zomato,131,Fail,06.10.19,UAT|import pandasa as pd|pandas: Package not found|importing
Netflix,102,Pass,05.20.19,
Netflix,7,Fail,07.21.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Instagram,3,Fail,08.27.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Uber,125,Pass,09.12.19,
Facebook,8,Fail,07.29.19,PROD|import numpy as np|numpy: Package not found|importing
Hotstar,167,Pass,08.23.19,
Uber,85,Pass,08.13.19,
Netflix,99,Pass,08.21.19,
Hotstar,82,Fail,06.30.19,PROD|import numpy as np|numpy: Package not found|importing
ACM,158,Fail,07.24.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
TechCrunch,77,Fail,09.19.19,UAT|import pandasa as pd|pandas: Package not found|importing
TechCrunch,35,Fail,06.16.19,PROD|import numpy as np|numpy: Package not found|importing
Uber,8,Fail,04.26.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Facebook,5,Fail,08.13.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Netflix,198,Pass,09.04.19,
UberEats,120,Fail,06.27.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Netflix,191,Pass,09.20.19,
UberEats,79,Pass,04.19.19,
Instagram,52,Fail,07.06.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Facebook,129,Fail,06.22.19,PROD|import numpy as np|numpy: Package not found|importing
Uber,88,Pass,04.19.19,
Guardian,141,Fail,09.12.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Netflix,150,Pass,04.11.19,
Netflix,117,Pass,04.02.19,
Zomato,84,Fail,04.08.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Hotstar,69,Fail,05.24.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Instagram,139,Pass,08.03.19,
UberEats,157,Pass,07.11.19,
Zomato,28,Pass,08.31.19,
Instagram,144,Pass,04.22.19,
Guardian,9,Pass,09.12.19,
Hotstar,171,Fail,07.03.19,PROD|import numpy as np|numpy: Package not found|importing
Guardian,133,Fail,09.30.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Uber,91,Pass,07.26.19,
ACM,40,Fail,09.24.19,PROD|import numpy as np|numpy: Package not found|importing
Netflix,96,Fail,09.29.19,PROD|import numpy as np|numpy: Package not found|importing
Instagram,161,Fail,05.28.19,UAT|import pandasa as pd|pandas: Package not found|importing
Guardian,191,Pass,09.28.19,
TechCrunch,62,Fail,08.11.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Facebook,166,Pass,05.31.19,
TechCrunch,156,Pass,04.01.19,
UberEats,95,Fail,07.25.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Hotstar,101,Pass,04.05.19,
Uber,118,Pass,06.18.19,
ACM,73,Fail,04.17.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Facebook,85,Pass,05.01.19,
Hotstar,183,Pass,08.20.19,
Instagram,101,Pass,08.09.19,
Instagram,185,Pass,06.29.19,
UberEats,23,Fail,05.16.19,UAT|import pandasa as pd|pandas: Package not found|importing
Netflix,150,Pass,05.29.19,
Guardian,154,Fail,09.11.19,PROD|import numpy as np|numpy: Package not found|importing
Instagram,12,Fail,04.08.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Netflix,81,Fail,06.16.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Facebook,32,Pass,06.14.19,
UberEats,95,Pass,09.28.19,
Netflix,139,Pass,09.01.19,
Zomato,91,Pass,07.05.19,
Netflix,195,Pass,05.10.19,
Instagram,8,Pass,06.06.19,
Facebook,131,Fail,07.25.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Uber,196,Pass,09.03.19,
Facebook,49,Pass,07.02.19,
Hotstar,125,Pass,09.22.19,
TechCrunch,91,Fail,05.27.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Facebook,144,Pass,07.03.19,
Netflix,158,Pass,08.01.19,
Instagram,47,Fail,06.21.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
UberEats,199,Fail,08.05.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Zomato,93,Pass,04.29.19,
ACM,147,Pass,04.18.19,
Netflix,55,Pass,04.12.19,
UberEats,169,Fail,08.29.19,UAT|import pandasa as pd|pandas: Package not found|importing
UberEats,190,Fail,04.03.19,UAT|import pandasa as pd|pandas: Package not found|importing
Facebook,148,Pass,08.26.19,
Zomato,87,Fail,06.14.19,UAT|import pandasa as pd|pandas: Package not found|importing
Facebook,180,Pass,04.18.19,
Hotstar,193,Fail,05.07.19,PROD|import numpy as np|numpy: Package not found|importing
ACM,36,Pass,07.21.19,
ACM,198,Pass,09.01.19,
Hotstar,10,Pass,05.17.19,
ACM,148,Fail,08.24.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Hotstar,68,Pass,07.13.19,
Netflix,56,Fail,08.10.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Zomato,176,Fail,09.26.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
TechCrunch,91,Fail,04.25.19,UAT|import pandasa as pd|pandas: Package not found|importing
ACM,48,Pass,04.24.19,
Facebook,106,Fail,08.15.19,PROD|import numpy as np|numpy: Package not found|importing
Hotstar,153,Fail,07.30.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Zomato,144,Fail,07.11.19,PROD|import numpy as np|numpy: Package not found|importing
UberEats,166,Fail,07.06.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Guardian,117,Fail,09.05.19,UAT|import pandasa as pd|pandas: Package not found|importing
Facebook,192,Fail,05.22.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
UberEats,65,Pass,04.19.19,
Instagram,102,Fail,07.03.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Instagram,79,Pass,06.18.19,
UberEats,129,Pass,07.08.19,
TechCrunch,94,Fail,08.16.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Hotstar,104,Fail,08.08.19,PROD|import numpy as np|numpy: Package not found|importing
Hotstar,160,Pass,04.04.19,
ACM,31,Pass,09.29.19,
Guardian,49,Pass,09.21.19,
Netflix,159,Pass,08.21.19,
ACM,78,Pass,05.22.19,
Instagram,30,Fail,08.30.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Instagram,14,Pass,06.22.19,
Netflix,133,Fail,05.18.19,PROD|import numpy as np|numpy: Package not found|importing
Facebook,128,Pass,05.16.19,
ACM,95,Pass,05.10.19,
UberEats,168,Pass,08.24.19,
UberEats,55,Fail,08.15.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
UberEats,68,Pass,06.16.19,
Uber,5,Fail,04.04.19,UAT|import pandasa as pd|pandas: Package not found|importing
TechCrunch,62,Fail,06.16.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Uber,179,Fail,06.28.19,UAT|import pandasa as pd|pandas: Package not found|importing
ACM,142,Fail,08.18.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Guardian,19,Fail,06.08.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
ACM,150,Fail,06.02.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Zomato,104,Fail,08.08.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Guardian,87,Pass,09.15.19,
Instagram,3,Pass,07.27.19,
Netflix,40,Pass,05.13.19,
ACM,180,Pass,06.27.19,
Facebook,37,Fail,05.16.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Facebook,62,Pass,07.17.19,
Instagram,72,Fail,04.30.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
TechCrunch,4,Fail,07.28.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
UberEats,47,Pass,07.14.19,
Guardian,137,Pass,08.04.19,
Netflix,49,Fail,04.02.19,PROD|import numpy as np|numpy: Package not found|importing
Hotstar,38,Fail,07.18.19,PROD|import numpy as np|numpy: Package not found|importing
Uber,32,Fail,04.06.19,PROD|import numpy as np|numpy: Package not found|importing
TechCrunch,147,Fail,05.04.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Hotstar,41,Fail,06.13.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
ACM,150,Pass,06.14.19,
TechCrunch,194,Fail,07.18.19,UAT|import pandasa as pd|pandas: Package not found|importing
Zomato,117,Fail,05.05.19,UAT|import pandasa as pd|pandas: Package not found|importing
Hotstar,67,Pass,08.25.19,
Guardian,157,Pass,04.03.19,
TechCrunch,97,Fail,06.04.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
ACM,132,Fail,06.17.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Guardian,158,Pass,07.31.19,
Hotstar,31,Pass,04.14.19,
Facebook,68,Fail,07.27.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Guardian,58,Pass,05.20.19,
Guardian,99,Fail,05.16.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
UberEats,101,Pass,05.06.19,
Zomato,199,Pass,08.11.19,
ACM,16,Pass,08.05.19,
Instagram,45,Fail,05.17.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
UberEats,143,Pass,04.27.19,
ACM,172,Fail,04.26.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Facebook,166,Fail,06.08.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Guardian,1,Pass,09.08.19,
Guardian,111,Pass,05.07.19,
Hotstar,161,Pass,09.09.19,
Guardian,42,Fail,08.15.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Guardian,189,Pass,07.09.19,
Facebook,52,Pass,08.11.19,
Instagram,87,Fail,06.21.19,UAT|import pandasa as pd|pandas: Package not found|importing
Zomato,185,Fail,05.01.19,UAT|import pandasa as pd|pandas: Package not found|importing
Zomato,73,Fail,09.28.19,PROD|import numpy as np|numpy: Package not found|importing
TechCrunch,167,Pass,08.14.19,
Instagram,168,Fail,04.06.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Netflix,183,Fail,09.15.19,UAT|import pandasa as pd|pandas: Package not found|importing
Zomato,22,Pass,06.29.19,
Hotstar,105,Fail,09.10.19,PROD|import numpy as np|numpy: Package not found|importing
UberEats,97,Pass,09.27.19,
TechCrunch,101,Fail,08.08.19,PROD|import numpy as np|numpy: Package not found|importing
Uber,132,Pass,09.12.19,
Netflix,74,Pass,06.01.19,
Netflix,139,Fail,09.22.19,UAT|import pandasa as pd|pandas: Package not found|importing
Instagram,114,Fail,07.04.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Instagram,81,Fail,07.22.19,PROD|import numpy as np|numpy: Package not found|importing
UberEats,65,Fail,05.21.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
ACM,197,Pass,04.16.19,
TechCrunch,44,Fail,08.15.19,UAT|import pandasa as pd|pandas: Package not found|importing
ACM,116,Pass,05.11.19,
UberEats,96,Pass,05.13.19,
Uber,159,Pass,05.05.19,
